Cause,TotalDeaths
A609,112.0
A63,152.0
A630,197.0
A638,20.0
A64,682.0
A65,34.0
A66,82.0
A660,4.0
A661,10.0
A662,4.0
A664,8.0
A665,6.0
A666,8.0
A669,24.0
A67,17.0
A670,2.0
A671,4.0
A679,23.0
A68,229.0
A680,6.0
A681,12.0
A689,279.0
A69,408.0
A690,166.0
A691,132.0
A692,1511.0
A698,128.0
A699,64.0
A70,228.0
A71,18.0
A710,32.0
A719,47.0
A74,48.0
A740,10.0
A748,20.0
A749,214.0
A75,531.0
A750,10.0
A751,2.0
A752,40.0
A753,1808.0
A759,296.0
A77,111.0
A770,1677.0
A771,318.0
A773,2.0
A778,418.0
A779,492.0
A78,2527.0
A79,155.0
A790,12.0
A791,8.0
A798,42.0
A799,864.0
A80,1008.0
A800,12.0
A802,42.0
A803,148.0
A804,2.0
A809,753.0
A81,1909.0
A810,66781.0
A811,2805.0
A812,6067.0
A818,508.0
A819,2724.0
A82,5329.0
A820,123.0
A821,60.0
A829,7920.0
A83,800.0
A830,358.0
A831,2.0
A832,86.0
A833,50.0
A834,20.0
A835,24.0
A836,2.0
A838,68.0
A839,162.0
A84,837.0
A840,20.0
A841,572.0
A848,74.0
A849,500.0
A85,4526.0
A850,239.0
A851,105.0
A852,36.0
A858,1113.0
A86,63806.0
A87,8703.0
A870,218.0
A871,22.0
A872,1858.0
A878,372.0
A879,7809.0
A88,146.0
A880,167.0
A881,4.0
A888,137.0
A89,2378.0
A90,23163.0
A91,48248.0
A92,253.0
A920,2649.0
A921,4.0
A922,36.0
A923,4857.0
A924,4.0
A925,2.0
A928,338.0
A929,356.0
A93,167.0
A931,16.0
A932,8.0
A938,573.0
A94,1450.0
A95,1288.0
A950,733.0
A951,2.0
A959,700.0
A96,98.0
A960,104.0
A961,16.0
A962,16.0
A968,300.0
A969,114.0
A97,5804.0
A970,350.0
A971,4915.0
A972,2093.0
A979,6204.0
A98,370.0
A980,910.0
A981,4.0
A983,18.0
A984,20.0
A985,1586.0
A988,690.0
A99,2650.0
AAA,632382155.0
B00,2080.0
B000,93.0
B001,242.0
B002,230.0
B003,753.0
B004,22892.0
B005,32.0
B007,1161.0
B008,1004.0
B009,4413.0
B01,6616.0
B010,373.0
B011,1865.0
B012,7156.0
B018,4133.0
B019,8354.0
B02,4580.0
B020,4255.0
B021,559.0
B022,2720.0
B023,2355.0
B027,1884.0
B028,1936.0
B029,22234.0
B03,43.0
B04,46.0
B05,5842.0
B050,415.0
B051,47.0
B052,10509.0
B053,17.0
B054,126.0
B058,190.0
B059,1271.0
B06,260.0
B060,68.0
B068,191.0
B069,207.0
B07,125.0
B08,237.0
B080,18.0
B081,4.0
B082,34.0
B083,78.0
B084,53.0
B085,31.0
B088,25.0
B09,605.0
B15,16445.0
B150,2696.0
B159,11123.0
B16,28740.0
B160,1042.0
B161,410.0
B162,14445.0
B169,61629.0
B17,20598.0
B170,504.0
B171,115094.0
B172,1116.0
B178,2706.0
B179,8906.0
B18,71588.0
B180,2465.0
B181,90229.0
B182,624374.0
B188,3752.0
B189,11119.0
B19,138267.0
B190,13922.0
B199,38432.0
B20,458055.0
B200,134846.0
B201,103638.0
B202,4439.0
B203,49561.0
B204,5974.0
B205,35834.0
B206,78472.0
B207,221134.0
B208,245146.0
B209,122783.0
B21,17037.0
B210,13704.0
B211,4876.0
B212,30016.0
B213,6407.0
B217,4801.0
B218,27712.0
B219,5463.0
B22,82938.0
