Country,TotalDeaths
1060,21882.0
1125,38267326.0
1250,138462.0
1300,661860.0
1303,7084.0
1310,2725736.0
1360,142954.0
1365,12074.0
1400,81729.0
1430,37965550.0
1520,484766.0
2005,4978.0
2010,36890.0
2020,25583250.0
2025,48598.0
2030,115626.0
2040,122384.0
2045,95917.0
2050,30590.0
2060,275242.0
2070,102361242.0
2085,6748.0
2090,18797354.0
2110,6660.0
2120,7728716.0
2130,17089418.0
2140,1536842.0
2150,7303870.0
2160,47714.0
2170,2439030.0
2180,5637126.0
2190,2418452.0
2210,25812.0
2230,74068.0
2240,98476.0
2250,4999906.0
2260,398888.0
2270,111444.0
2280,152476.0
2290,771032.0
2300,91408.0
2310,48462692.0
2320,3894.0
2340,1650756.0
2350,1246728.0
2360,2102270.0
2370,8437186.0
2380,1985852.0
2385,23808.0
2400,84696.0
2410,466.0
2420,73102.0
2430,164648.0
2440,476360.0
2445,6272.0
2450,208799274.0
2455,39964.0
2460,2481152.0
2470,8935076.0
3020,131822.0
3030,117927.0
3080,380008.0
3090,2789686.0
3130,4955744.0
3140,1385052.0
3150,3309548.0
3160,95475450.0
3170,634420.0
3190,438308.0
3210,472382.0
3236,6280794.0
3255,78253.0
3260,415006.0
3283,314438.0
3285,327395.0
3300,27984150.0
3320,147970.0
3325,21111136.0
3340,377646.0
3350,688262.0
3365,6881895.0
3370,3218194.0
3380,30410028.0
3400,16340824.0
3405,113880.0
4007,1824774.0
4008,8801.0
4010,6378470.0
4012,1347501.0
4018,7453874.0
4020,7605910.0
4025,1067752.0
4030,7079998.0
4038,3947014.0
4045,9306744.0
4050,4346714.0
4055,1383942.0
4070,4081654.0
4080,37043110.0
4084,3433936.0
4085,70100220.0
4140,3422792.0
4150,9956366.0
4160,171938.0
4170,1163438.0
4180,40763304.0
4182,12991293.0
4184,2759930.0
4186,2555162.0
4188,3530312.0
4190,316442.0
4195,1242598.0
4200,218960.0
4207,250326.0
4210,11411674.0
4220,2671114.0
4230,30923900.0
4240,7095242.0
4260,2943220.0
4270,19686390.0
4272,228074884.0
4273,8827518.0
4274,3594194.0
4275,10185.0
4276,1552056.0
4280,33660798.0
4290,6596868.0
4300,5131788.0
4301,274868.0
4302,2545522.0
4303,51968511.0
4308,47355952.0
4310,41625008.0
4320,1202968.0
4330,4782510.0
4335,7779644.0
4350,852978.0
5020,11865202.0
5070,274374.0
5105,2198.0
5150,1881256.0
5198,4206.0
